test_heat,train_size,test_size,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,11011,3812,0.7416054564533053,0.6585802334766012,0.69135095234663,0.7318642284335476
2,12988,1835,0.7280653950953678,0.6411421642061418,0.6457461828910902,0.7275146798844534
3,7195,7628,0.6915312008390142,0.6172465889618095,0.6383857180513891,0.6820592030175958
4,13275,1548,0.7396640826873385,0.7008821549228367,0.7195160157174995,0.736134417727124
