test_heat,train_size,val_size,test_size,best_epoch,test_loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,9359,1652,3812,11,0.52865434327756,0.7342602308499475,0.7555717857560144,0.7198150404282898,0.7373936450172728
2,11039,1949,1835,15,0.5098802551911378,0.7231607629427793,0.7836533872142887,0.6740772140886314,0.7234263939197917
3,6115,1080,7628,12,0.588603399033689,0.7177503932878867,0.7366308700809063,0.709862434583845,0.7187497182485776
4,11283,1992,1548,13,0.4678070526714473,0.7467700258397932,0.7851913100855424,0.7454094404960632,0.7433468214665373
