test_heat,train_size,val_size,test_size,test_loss,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,9359,1652,3812,0.598949076371328,0.6710388247639034,0.7207418324752011,0.6626346096933484,0.6788492486975594
2,11039,1949,1835,0.5842072016861524,0.7340599455040872,0.7787254242804639,0.6638250573949344,0.7488954632469245
3,6115,1080,7628,0.710700617264126,0.6148400629260619,0.6557684745490068,0.6136482698846982,0.614591104042312
4,11283,1992,1548,0.5279687154816719,0.7138242894056848,0.7674856279106107,0.712678678254938,0.709506717742655
