model,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1
image_plus_phase_features,0.7304853532301017,0.012848723550825438,0.7652618382841879,0.02344541445276211,0.7122910323992073,0.029550147483636883,0.7307291446630448,0.01155361643998127
phase_features_only,0.7252165337687565,0.02323894806828099,0.6544627853918473,0.035280757134153705,0.6737497172516521,0.03846716317524631,0.7193931322656801,0.025136830132660697
image_only_cnn,0.6834407806499343,0.052742533237328644,0.7306803398038206,0.05589728931671022,0.6631966538069797,0.04043193406798298,0.6879606334323627,0.05669624446215978
