test_heat,train_size,test_size,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,11562,4032,0.6986607142857143,0.48986237733431415,0.5033270805988004,0.6696706208523778
2,13552,2042,0.6523016650342801,0.47735597915810685,0.4585072213576937,0.6165767393525232
3,7691,7903,0.6696191319751993,0.4647979393568723,0.4747341980020478,0.6488693473510936
4,13977,1617,0.7062461348175634,0.524728345687664,0.528328449882068,0.6881389733908273
