epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_inclusion,train_recall_inclusion,train_specificity_non_inclusion,val_loss,val_accuracy,val_balanced_accuracy,val_f1_inclusion,val_recall_inclusion,val_specificity_non_inclusion,val_tp,val_tn,val_fp,val_fn
1,0.3228108827848338,0.8641500163773338,0.8642643038454907,0.8664573774450616,0.8860717813631873,0.8424568263277941,1.4586677726835913,0.40185581727337616,0.5224266785915578,0.09000965250965251,0.0471912955465587,0.9976620616365569,373,4694,11,7531
2,0.23054014399154749,0.9074680641991484,0.9075230300176396,0.9079954404820062,0.9180111952584787,0.8970348647768003,0.62437595345456,0.8151320485367595,0.7555536254393853,0.8704064046255628,0.9903846153846154,0.5207226354941552,7828,2450,2255,76
3,0.21148090896218322,0.9148378643956764,0.9148526916804185,0.9146701673777486,0.9176819229502798,0.9120234604105572,0.2477414252347315,0.8940439368704893,0.89389440017726,0.9136727836650297,0.8944838056680162,0.8933049946865037,7070,4203,502,834
4,0.2039276506474789,0.9169669177857844,0.9169912450473701,0.9169533169533169,0.9216331906486664,0.9123492994460737,0.26415786150910414,0.8917439923863907,0.896834086616443,0.9103448275862069,0.8767712550607287,0.9168969181721572,6930,4314,391,974
5,0.19143083471959824,0.9242548313134622,0.9242797879052884,0.9242486282859717,0.9290418175831413,0.9195177582274356,0.43923297689977275,0.8080735982234911,0.8411495060814793,0.8227885178676039,0.7107793522267206,0.971519659936238,5618,4571,134,2286
6,0.18412155869102384,0.9278578447428759,0.927884616932064,0.9278755628325829,0.9329930852815278,0.9227761485826002,0.37969413328128027,0.8491553652153224,0.8699177187891252,0.8675487465181057,0.788081983805668,0.9517534537725824,6229,4478,227,1675
7,0.1723727927348905,0.9339993449066492,0.9340292898929924,0.9340533464244805,0.9397431675996049,0.9283154121863799,0.26823689408633344,0.8881751130145135,0.8995358220000258,0.9055086449537596,0.854757085020243,0.9443145589798088,6756,4443,262,1148
8,0.1729899136952951,0.9335080248935473,0.9335379563852059,0.9335624284077892,0.9392492591373065,0.9278266536331052,1.4176092376286284,0.44848917439923863,0.5596660456831607,0.21636240703177823,0.1214574898785425,0.997874601487779,960,4695,10,6944
9,0.16287930342229984,0.9382574516868654,0.938294380172507,0.9383886255924172,0.9453407968389859,0.931247963506028,0.24208460885839408,0.9068125941787613,0.8963801806588736,0.9265395436073772,0.9375,0.8552603613177471,7410,4024,681,494
10,0.15892377289794837,0.9390763183753685,0.9391175609430041,0.9392553886348791,0.9469871583799803,0.931247963506028,0.29528558030700336,0.8784994844952019,0.8950440218864417,0.8954266211604095,0.829832995951417,0.9602550478214665,6559,4518,187,1345
11,0.15883689030365516,0.93948575171962,0.9395162765556937,0.9395402110774769,0.9453407968389859,0.9336917562724014,0.25292875062952297,0.8984059005472281,0.8692875881459555,0.9239175625111362,0.9840587044534413,0.7545164718384697,7778,3550,1155,126
12,0.15968507966603213,0.9385849983622666,0.9386227941625351,0.9387254901960783,0.9458347053012841,0.9314108830237863,0.20609841879589597,0.9219605044016179,0.9098820274752932,0.9389578163771712,0.9574898785425101,0.8622741764080765,7568,4057,648,336
13,0.15078472957878944,0.9442351785129381,0.9442718420248241,0.9443491051728364,0.9512676983865657,0.9372759856630825,0.23309665768558627,0.9045919581251487,0.9104799168125907,0.9210059754415917,0.8872722672064778,0.9336875664187035,7013,4393,312,891
14,0.1478485812515733,0.9429249918113332,0.9429564694283697,0.9429856850715747,0.9489627922291736,0.9369501466275659,0.30389823560305373,0.8733444365136014,0.8910182014137773,0.8904739043961318,0.8213562753036437,0.9606801275239107,6492,4520,185,1412
15,0.14773712055608165,0.9436619718309859,0.9436947571673053,0.9437356885835787,0.9499506091537702,0.9374389051808406,0.943306511380862,0.6519152985962408,0.7194310337224161,0.6201644309822587,0.45331477732793524,0.9855472901168969,3583,4637,68,4321
