epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_inclusion,train_recall_inclusion,train_specificity_non_inclusion,val_loss,val_accuracy,val_balanced_accuracy,val_f1_inclusion,val_recall_inclusion,val_specificity_non_inclusion,val_tp,val_tn,val_fp,val_fn
1,0.34057391037944323,0.863498187770373,0.8606565923949601,0.8784044159766703,0.8857382902751523,0.835574894514768,0.25652055227407694,0.8984509466437177,0.8561804084106306,0.93004505572682,0.9603330068560235,0.7520278099652375,1961,649,214,81
2,0.2484094001310103,0.8992751081491874,0.8979587411165083,0.9095300603833026,0.9095778197857592,0.8863396624472574,0.2907804280468191,0.8791738382099827,0.8060060854159975,0.919844713404887,0.9862879529872673,0.6257242178447276,2014,540,323,28
3,0.23250664828618925,0.9077516660820765,0.9071963012371085,0.9167194426852439,0.9120982986767486,0.9022943037974683,0.22552102416394704,0.8967297762478486,0.8382303038281829,0.9304267161410019,0.9823702252693438,0.694090382387022,2006,599,264,36
4,0.2181932505015029,0.9143575353677073,0.9133714579029509,0.9229960578186597,0.9220751942869145,0.9046677215189873,0.2201508487666125,0.9104991394148021,0.8627433400331168,0.9390243902439024,0.980411361410382,0.7450753186558516,2002,643,220,40
5,0.21677813785254962,0.917046650298141,0.9162028839276931,0.925351149455521,0.9236504935937828,0.9087552742616034,0.22059794971639235,0.9001721170395869,0.8497108235740073,0.9320524835988754,0.9740450538687562,0.7253765932792584,1989,626,237,53
6,0.20641088515596753,0.9207295685724307,0.9195244307652631,0.9288935500786576,0.9301617307288385,0.9088871308016878,0.19670270239988827,0.9249569707401033,0.9084861023943309,0.9467513434294089,0.9490695396669931,0.8679026651216686,1938,749,114,104
7,0.2011676909262418,0.9235356015433182,0.9224072035712102,0.9313890054553084,0.9323671497584541,0.9124472573839663,0.2307516579886517,0.8987951807228916,0.8353507399080491,0.9323204419889501,0.9916748285994124,0.6790266512166859,2025,586,277,17
8,0.1962595640999747,0.9231263884017303,0.9217578495768627,0.9311482276558982,0.9338374291115312,0.9096782700421941,0.23040828908731112,0.9194492254733219,0.9162764449458247,0.9416167664670659,0.9240940254652301,0.9084588644264194,1887,784,79,155
9,0.19243073942461836,0.9276861919794224,0.9268331631744209,0.9350007881876937,0.9343625288804873,0.9193037974683544,0.2571495059742985,0.908433734939759,0.8810106534501994,0.9357487922705314,0.9485798237022527,0.813441483198146,1937,702,161,105
10,0.19266584165038023,0.927510814918742,0.9258436990686458,0.9352548036758564,0.9405587061541693,0.9111286919831224,0.25132585286888937,0.8932874354561101,0.8404649521122477,0.9274684136640149,0.970617042115573,0.7103128621089224,1982,613,250,60
11,0.18588588430242317,0.9314860282941658,0.9302194750863424,0.9386387434554974,0.941398865784499,0.9190400843881856,0.28871608519615694,0.889500860585198,0.8822621813299618,0.9196897673254941,0.9000979431929481,0.8644264194669756,1838,746,117,204
12,0.18439351169112186,0.9316029463346195,0.9300695474703485,0.938871473354232,0.9436042848141147,0.9165348101265823,0.2039881819496877,0.908433734939759,0.8525767685101853,0.9382830626450116,0.990205680705191,0.7149478563151797,2022,617,246,20
13,0.1790379044010418,0.9328890447796095,0.9315870608770096,0.9399204521666318,0.9430791850451585,0.9200949367088608,0.20349600551819844,0.9215146299483649,0.908713652917924,0.9439528023598819,0.940254652301665,0.8771726535341831,1920,757,106,122
14,0.17816553274961183,0.9336490120425581,0.9322696905766525,0.9406411798546102,0.9444444444444444,0.9200949367088608,0.18650896907519557,0.9325301204819277,0.9302642763836604,0.9512195121951218,0.935847208619001,0.9246813441483198,1911,798,65,131
15,0.1716260920957865,0.9381503566000234,0.9365142331948133,0.9448038397328881,0.9509556815795001,0.9220727848101266,0.30316742211067327,0.893631669535284,0.916645008699126,0.9191311175085056,0.8599412340842312,0.9733487833140209,1756,840,23,286
