accuracy,precision_inclusion,recall_inclusion,specificity_non_inclusion,f1_inclusion,balanced_accuracy,tp,tn,fp,fn,loss,fold,test_heat,status,best_epoch,best_val_balanced_accuracy,mean,std
0.9370366390888578,0.9292476332835076,0.9250992063492064,0.9461611374407582,0.9271687795177728,0.9356301718949824,3730.0,4991.0,284.0,302.0,0.1731435760932201,fold_test_heat_1,1,skipped_existing,,,,
0.9325301204819277,0.9671052631578947,0.935847208619001,0.9246813441483198,0.9512195121951218,0.9302642763836604,1911.0,798.0,65.0,131.0,0.18650896907519557,fold_test_heat_2,2,trained,14.0,0.9356301718949823,0.7636939886368103,0.10226401717972068
0.9158537552541836,0.9162915196495924,0.9528087044534413,0.8537725823591924,0.9341933883272343,0.9032906434063168,7531.0,4017.0,688.0,373.0,0.2414059874606131,fold_test_heat_3,3,trained,13.0,0.889921412075251,0.7591792161918413,0.10252688253582133
0.9119412941961308,0.8689613526570048,0.8893695920889988,0.9246266064605766,0.8790470372632865,0.9069980992747877,1439.0,2662.0,217.0,179.0,0.20827050942058614,fold_test_heat_4,4,trained,13.0,0.9104799168125907,0.7591792161918413,0.10252688253582133
