fold,test_heat,selection_rule,threshold,val_accuracy,val_balanced_accuracy,val_precision_inclusion,val_recall_inclusion,val_specificity_non_inclusion,val_f1_inclusion,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_balanced_accuracy,test_precision_inclusion,test_recall_inclusion,test_specificity_non_inclusion,test_f1_inclusion,test_tp,test_tn,test_fp,test_fn
fold_test_heat_1,1,default_0.50,0.5,0.9325301204819277,0.9302642763836604,0.9671052631578947,0.935847208619001,0.9246813441483198,0.9512195121951218,1911,798,65,131,0.9370366390888578,0.9356301718949823,0.9292476332835077,0.9250992063492064,0.9461611374407582,0.9271687795177729,3730,4991,284,302
fold_test_heat_1,1,best_val_balanced_accuracy,0.6800000000000002,0.9242685025817556,0.9357612387827806,0.9835456475583864,0.9074436826640548,0.9640787949015064,0.9439633214467651,1853,832,31,189,0.9313420006446761,0.9262525154216505,0.950119395065004,0.8881448412698413,0.9643601895734597,0.9180874246891425,3581,5087,188,451
fold_test_heat_1,1,best_val_f1,0.4700000000000001,0.9335628227194492,0.9283227199834756,0.9634085213032582,0.941234084231146,0.9154113557358053,0.9521922219469903,1922,790,73,120,0.9367143010637154,0.9360763418716618,0.9232849766412589,0.9312996031746031,0.9408530805687204,0.9272749722187924,3755,4963,312,277
fold_test_heat_1,1,val_recall_at_least_0.95,0.38000000000000006,0.9311531841652324,0.917576774184762,0.951028403525955,0.951028403525955,0.884125144843569,0.951028403525955,1942,763,100,100,0.9337058128290534,0.934445055668397,0.9099639855942377,0.9399801587301587,0.9289099526066351,0.9247285592289863,3790,4900,375,242
fold_test_heat_2,2,default_0.50,0.5,0.9370366390888578,0.9356301718949823,0.9292476332835077,0.9250992063492064,0.9461611374407582,0.9271687795177729,3730,4991,284,302,0.9325301204819277,0.9302642763836604,0.9671052631578947,0.935847208619001,0.9246813441483198,0.9512195121951218,1911,798,65,131
fold_test_heat_2,2,best_val_balanced_accuracy,0.5300000000000001,0.9382185451810465,0.9361468442037162,0.9357196874212251,0.9206349206349206,0.9516587677725118,0.9281160145018128,3712,5020,255,320,0.9301204819277108,0.9298883356807166,0.9688934217236104,0.930460333006856,0.929316338354577,0.9492880339745191,1900,802,61,142
fold_test_heat_2,2,best_val_f1,0.5300000000000001,0.9382185451810465,0.9361468442037162,0.9357196874212251,0.9206349206349206,0.9516587677725118,0.9281160145018128,3712,5020,255,320,0.9301204819277108,0.9298883356807166,0.9688934217236104,0.930460333006856,0.929316338354577,0.9492880339745191,1900,802,61,142
fold_test_heat_2,2,val_recall_at_least_0.95,0.29000000000000004,0.9302675405608681,0.9326391709922515,0.8951179630927354,0.9503968253968254,0.9148815165876777,0.9219295079995188,3832,4826,449,200,0.9287435456110155,0.9058272795058124,0.9379474940334129,0.9622918707149853,0.8493626882966396,0.9499637418419146,1965,733,130,77
fold_test_heat_3,3,default_0.50,0.5,0.8772515010006671,0.889921412075251,0.7719387755102041,0.9351050679851669,0.8447377561653352,0.8457238680827278,1513,2432,447,105,0.9158537552541836,0.9032906434063168,0.9162915196495924,0.9528087044534413,0.8537725823591924,0.9341933883272343,7531,4017,688,373
fold_test_heat_3,3,best_val_balanced_accuracy,0.8500000000000002,0.908160996219702,0.8995790668628503,0.8749222153080274,0.8689740420271941,0.9301840916985065,0.871937984496124,1406,2678,201,212,0.9108573241335554,0.9141010403266402,0.9539367970005356,0.9013157894736842,0.9268862911795962,0.92688004163414,7124,4361,344,780
fold_test_heat_3,3,best_val_f1,0.8500000000000002,0.908160996219702,0.8995790668628503,0.8749222153080274,0.8689740420271941,0.9301840916985065,0.871937984496124,1406,2678,201,212,0.9108573241335554,0.9141010403266402,0.9539367970005356,0.9013157894736842,0.9268862911795962,0.92688004163414,7124,4361,344,780
fold_test_heat_3,3,val_recall_at_least_0.95,0.39000000000000007,0.8623526795641538,0.8818045812329254,0.7402597402597403,0.9511742892459827,0.812434873219868,0.8325669461725724,1539,2339,540,79,0.9133951939091125,0.8967274536736265,0.9053796715067841,0.9624240890688259,0.8310308182784272,0.9330307862136636,7607,3910,795,297
fold_test_heat_4,4,default_0.50,0.5,0.9045919581251487,0.9104799168125907,0.9574061433447099,0.8872722672064778,0.9336875664187035,0.9210059754415917,7013,4393,312,891,0.9119412941961308,0.9069980992747877,0.8689613526570048,0.8893695920889988,0.9246266064605766,0.8790470372632865,1439,2662,217,179
fold_test_heat_4,4,best_val_balanced_accuracy,0.34,0.9181536997382822,0.9156628075696885,0.942897654034545,0.9254807692307693,0.9058448459086078,0.9341080321797982,7315,4262,443,589,0.901712252612853,0.9072656906433398,0.8223684210526315,0.927070457354759,0.8874609239319208,0.8715862870424173,1500,2555,324,118
fold_test_heat_4,4,best_val_f1,0.23000000000000004,0.9201364105004362,0.9107496520412861,0.926530612244898,0.947747975708502,0.8737513283740701,0.9370192007004815,7491,4111,594,413,0.8863686902379364,0.899342925262042,0.783410138248848,0.9456118665018541,0.8530739840222299,0.8569028283394007,1530,2456,423,88
fold_test_heat_4,4,val_recall_at_least_0.95,0.21000000000000002,0.91902609247363,0.9081866026752485,0.9223217572708308,0.9509109311740891,0.8654622741764081,0.9363981810253535,7516,4072,633,388,0.8843673560151212,0.898591994971472,0.7781155015197568,0.9493201483312732,0.8478638416116707,0.8552338530066815,1536,2441,438,82
