selection_rule,test_accuracy,test_balanced_accuracy,test_precision_inclusion,test_recall_inclusion,test_specificity_non_inclusion,test_f1_inclusion,test_fp,test_fn
best_val_balanced_accuracy,0.9185080148296988,0.9193768955180868,0.9238295087104453,0.9117478552762851,0.9270059357598884,0.9164604468350547,229.25,372.75
best_val_f1,0.9160151993407295,0.9198521607852651,0.9073813334035632,0.9271718980392494,0.9125324235312808,0.9150864690417131,285.0,321.75
default_0.50,0.924340452255275,0.9190457977399368,0.9204014421869999,0.9257811778776619,0.9123104176022118,0.9229071793258539,313.5,246.25
val_recall_at_least_0.95,0.9150529770910756,0.908897945954827,0.8828516631635479,0.9535040667113108,0.8642918251983431,0.9157392350728115,434.5,174.5
