epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_inclusion,train_recall_inclusion,train_specificity_non_inclusion,val_loss,val_accuracy,val_balanced_accuracy,val_f1_inclusion,val_recall_inclusion,val_specificity_non_inclusion,val_tp,val_tn,val_fp,val_fn
1,0.31858755197147837,0.8680805764821488,0.8681923969532709,0.8702585165498913,0.8895291405992756,0.8468556533072662,1.628727293833643,0.5581498776962419,0.6515310992048039,0.6158901991107675,0.984548825710754,0.31851337269885377,1593,917,1962,25
2,0.23480579094967996,0.9048476907959384,0.9048776934158307,0.9049410994764397,0.910602568324004,0.8991528185076573,0.5624295779604739,0.7767400489215033,0.6909585889208372,0.5537777777777778,0.38504326328800986,0.9968739145536645,623,2870,9,995
3,0.2173579350440884,0.9124631509990173,0.9124774839003651,0.912283580864856,0.9152123806387883,0.909742587161942,0.41011081195577453,0.8174338447854125,0.83738366269362,0.7817069928210582,0.9085290482076638,0.7662382771795763,1470,2206,673,148
4,0.2046309744105197,0.917376351130036,0.917393393932742,0.9172476010825884,0.9206453737240698,0.9141414141414141,0.25500916709184435,0.8912608405603736,0.8621520185169362,0.8338430173292559,0.7583436341161929,0.9659604029176797,1227,2781,98,391
5,0.19376536790870894,0.9245004913200131,0.9245112924093667,0.9242897027426507,0.9265722752716496,0.9224503095470837,1.1380586946357854,0.6820102290415833,0.7470479079786236,0.6889952153110046,0.9789864029666254,0.5151094129906217,1584,1483,1396,34
6,0.18576397879315798,0.9276940714051752,0.9277156891871116,0.9276407440793248,0.9318406322028318,0.9235907461713914,0.364809009441408,0.8329997776295308,0.8332984129996381,0.7823819182845553,0.8343634116192831,0.8322334143799931,1350,2396,483,268
7,0.17814394496832758,0.9295774647887324,0.9295969885048666,0.9294966387932447,0.9333223575897267,0.9258716194200065,0.4905134181539456,0.7889704247275962,0.819214283904889,0.7596859964547988,0.927070457354759,0.7113581104550191,1500,2048,831,118
8,0.1691305352905091,0.9343268915820504,0.9343499790194852,0.934294609208586,0.9387553506750083,0.9299446073639622,0.31302089935836724,0.8612408272181454,0.8784998868667058,0.8297872340425533,0.9400494437577256,0.816950329975686,1521,2352,527,97
9,0.17019272771109686,0.9341631182443498,0.9341819095927033,0.9340767464742538,0.9377675337504116,0.9305962854349951,0.388072844873886,0.8636869023793641,0.8369622572732687,0.796548290740126,0.7416563658838071,0.9322681486627301,1200,2684,195,418
10,0.16619242838551246,0.9369472649852604,0.9369721410306877,0.936936936936937,0.9417188014487982,0.9322254806125774,0.34366480763922913,0.8463420057816322,0.8655103814287941,0.8138971182332345,0.9338689740420272,0.7971517888155609,1511,2295,584,107
11,0.15635989124154873,0.9389944317065182,0.9390292346387602,0.9390991580152047,0.9456700691471848,0.9323884001303356,0.4785238627966779,0.8401156326439849,0.779436338585838,0.7170405352223534,0.5630407911001236,0.9958318860715526,911,2867,12,707
12,0.16292571098032133,0.9376023583360629,0.9376366938742797,0.9377043819489862,0.9441883437602897,0.9310850439882697,0.34850637682354435,0.8796975761618857,0.853933217437898,0.8200864649151979,0.7620519159456118,0.9458145189301841,1233,2723,156,385
13,0.15199373694197138,0.940795938421225,0.9408179160614183,0.940752274030976,0.945011524530787,0.9366243075920495,0.3120071349977413,0.8772515010006671,0.889921412075251,0.8457238680827278,0.9351050679851669,0.8447377561653352,1513,2432,447,105
14,0.14803010148178972,0.9443170651817884,0.9443395686929734,0.9442805637495904,0.9486335199209747,0.9400456174649723,0.2247496416805942,0.9014898821436513,0.8813751255307283,0.8553705517466537,0.8096415327564895,0.953108718304967,1310,2744,135,308
15,0.14712594096636405,0.9457091385522437,0.9457338260937951,0.9456957981816693,0.9504445176160685,0.9410231345715216,0.22958630626788828,0.9086057371581054,0.8893689480664511,0.8659928268666448,0.8207663782447466,0.9579715178881556,1328,2758,121,290
